# Results with current code
timestamp: 2026-07-21T11:58:46.640426+00:00 | iter: 33 | tokens_per_s: 44194.31 | samples_per_s: 43.16 | s_per_batch: 11.86 | learning_rate: 0.00001980 | step_cost: 9.33
timestamp: 2026-07-21T11:58:58.484935+00:00 | iter: 34 | tokens_per_s: 44263.52 | samples_per_s: 43.23 | s_per_batch: 11.84 | learning_rate: 0.00002040 | step_cost: 9.30
timestamp: 2026-07-21T11:59:10.269790+00:00 | iter: 35 | tokens_per_s: 44486.03 | samples_per_s: 43.44 | s_per_batch: 11.79 | learning_rate: 0.00002100 | step_cost: 9.28
timestamp: 2026-07-21T11:59:22.114084+00:00 | iter: 36 | tokens_per_s: 44267.24 | samples_per_s: 43.23 | s_per_batch: 11.84 | learning_rate: 0.00002160 | step_cost: 9.24
timestamp: 2026-07-21T11:59:33.994182+00:00 | iter: 37 | tokens_per_s: 44132.99 | samples_per_s: 43.10 | s_per_batch: 11.88 | learning_rate: 0.00002220 | step_cost: 9.21
timestamp: 2026-07-21T11:59:45.821917+00:00 | iter: 38 | tokens_per_s: 44325.00 | samples_per_s: 43.29 | s_per_batch: 11.83 | learning_rate: 0.00002280 | step_cost: 9.18
timestamp: 2026-07-21T11:59:57.682152+00:00 | iter: 39 | tokens_per_s: 44206.78 | samples_per_s: 43.17 | s_per_batch: 11.86 | learning_rate: 0.00002340 | step_cost: 9.14
timestamp: 2026-07-21T12:00:09.560272+00:00 | iter: 40 | tokens_per_s: 44139.62 | samples_per_s: 43.11 | s_per_batch: 11.88 | learning_rate: 0.00002400 | step_cost: 9.11
timestamp: 2026-07-21T12:00:21.394022+00:00 | iter: 41 | tokens_per_s: 44302.81 | samples_per_s: 43.26 | s_per_batch: 11.83 | learning_rate: 0.00002460 | step_cost: 9.10
timestamp: 2026-07-21T12:00:33.265549+00:00 | iter: 42 | tokens_per_s: 44164.89 | samples_per_s: 43.13 | s_per_batch: 11.87 | learning_rate: 0.00002520 | step_cost: 9.07
timestamp: 2026-07-21T12:00:45.122206+00:00 | iter: 43 | tokens_per_s: 44218.34 | samples_per_s: 43.18 | s_per_batch: 11.86 | learning_rate: 0.00002580 | step_cost: 9.02
timestamp: 2026-07-21T12:00:57.144920+00:00 | iter: 44 | tokens_per_s: 43614.07 | samples_per_s: 42.59 | s_per_batch: 12.02 | learning_rate: 0.00002640 | step_cost: 8.99
timestamp: 2026-07-21T12:01:09.111496+00:00 | iter: 45 | tokens_per_s: 43810.70 | samples_per_s: 42.78 | s_per_batch: 11.97 | learning_rate: 0.00002700 | step_cost: 8.97
timestamp: 2026-07-21T12:01:21.116666+00:00 | iter: 46 | tokens_per_s: 43673.33 | samples_per_s: 42.65 | s_per_batch: 12.00 | learning_rate: 0.00002760 | step_cost: 8.95
timestamp: 2026-07-21T12:01:32.996581+00:00 | iter: 47 | tokens_per_s: 44127.64 | samples_per_s: 43.09 | s_per_batch: 11.88 | learning_rate: 0.00002820 | step_cost: 8.90
timestamp: 2026-07-21T12:01:44.882114+00:00 | iter: 48 | tokens_per_s: 44111.59 | samples_per_s: 43.08 | s_per_batch: 11.89 | learning_rate: 0.00002880 | step_cost: 8.87
timestamp: 2026-07-21T12:01:56.760188+00:00 | iter: 49 | tokens_per_s: 44138.88 | samples_per_s: 43.10 | s_per_batch: 11.88 | learning_rate: 0.00002940 | step_cost: 8.81
timestamp: 2026-07-21T12:02:08.636454+00:00 | iter: 50 | tokens_per_s: 44145.79 | samples_per_s: 43.11 | s_per_batch: 11.88 | learning_rate: 0.00003000 | step_cost: 8.81
timestamp: 2026-07-21T12:02:20.509429+00:00 | iter: 51 | tokens_per_s: 44157.99 | samples_per_s: 43.12 | s_per_batch: 11.87 | learning_rate: 0.00003060 | step_cost: 8.77
timestamp: 2026-07-21T12:02:32.365756+00:00 | iter: 52 | tokens_per_s: 44219.48 | samples_per_s: 43.18 | s_per_batch: 11.86 | learning_rate: 0.00003120 | step_cost: 8.74
timestamp: 2026-07-21T12:02:44.268166+00:00 | iter: 53 | tokens_per_s: 44050.57 | samples_per_s: 43.02 | s_per_batch: 11.90 | learning_rate: 0.00003180 | step_cost: 8.73
timestamp: 2026-07-21T12:02:56.155711+00:00 | iter: 54 | tokens_per_s: 44103.44 | samples_per_s: 43.07 | s_per_batch: 11.89 | learning_rate: 0.00003240 | step_cost: 8.70
timestamp: 2026-07-21T12:03:08.032631+00:00 | iter: 55 | tokens_per_s: 44143.06 | samples_per_s: 43.11 | s_per_batch: 11.88 | learning_rate: 0.00003300 | step_cost: 8.68
timestamp: 2026-07-21T12:03:19.893624+00:00 | iter: 56 | tokens_per_s: 44202.12 | samples_per_s: 43.17 | s_per_batch: 11.86 | learning_rate: 0.00003360 | step_cost: 8.64
timestamp: 2026-07-21T12:03:31.750930+00:00 | iter: 57 | tokens_per_s: 44216.32 | samples_per_s: 43.18 | s_per_batch: 11.86 | learning_rate: 0.00003420 | step_cost: 8.59
timestamp: 2026-07-21T12:03:43.616469+00:00 | iter: 58 | tokens_per_s: 44186.04 | samples_per_s: 43.15 | s_per_batch: 11.87 | learning_rate: 0.00003480 | step_cost: 8.59
timestamp: 2026-07-21T12:03:55.479383+00:00 | iter: 59 | tokens_per_s: 44195.44 | samples_per_s: 43.16 | s_per_batch: 11.86 | learning_rate: 0.00003540 | step_cost: 8.53
timestamp: 2026-07-21T12:04:07.349980+00:00 | iter: 60 | tokens_per_s: 44167.25 | samples_per_s: 43.13 | s_per_batch: 11.87 | learning_rate: 0.00003600 | step_cost: 8.53
timestamp: 2026-07-21T12:04:19.224511+00:00 | iter: 61 | tokens_per_s: 44152.45 | samples_per_s: 43.12 | s_per_batch: 11.87 | learning_rate: 0.00003660 | step_cost: 8.48
timestamp: 2026-07-21T12:04:31.110343+00:00 | iter: 62 | tokens_per_s: 44110.76 | samples_per_s: 43.08 | s_per_batch: 11.89 | learning_rate: 0.00003720 | step_cost: 8.46
timestamp: 2026-07-21T12:04:42.994979+00:00 | iter: 63 | tokens_per_s: 44114.74 | samples_per_s: 43.08 | s_per_batch: 11.88 | learning_rate: 0.00003780 | step_cost: 8.43
timestamp: 2026-07-21T12:04:54.849458+00:00 | iter: 64 | tokens_per_s: 44225.88 | samples_per_s: 43.19 | s_per_batch: 11.85 | learning_rate: 0.00003840 | step_cost: 8.40
timestamp: 2026-07-21T12:05:06.710908+00:00 | iter: 65 | tokens_per_s: 44201.24 | samples_per_s: 43.17 | s_per_batch: 11.86 | learning_rate: 0.00003900 | step_cost: 8.40
timestamp: 2026-07-21T12:05:18.568813+00:00 | iter: 66 | tokens_per_s: 44214.10 | samples_per_s: 43.18 | s_per_batch: 11.86 | learning_rate: 0.00003960 | step_cost: 8.35
timestamp: 2026-07-21T12:05:30.406139+00:00 | iter: 67 | tokens_per_s: 44290.29 | samples_per_s: 43.25 | s_per_batch: 11.84 | learning_rate: 0.00004020 | step_cost: 8.33
timestamp: 2026-07-21T12:05:42.242287+00:00 | iter: 68 | tokens_per_s: 44295.47 | samples_per_s: 43.26 | s_per_batch: 11.84 | learning_rate: 0.00004080 | step_cost: 8.28
timestamp: 2026-07-21T12:05:54.096146+00:00 | iter: 69 | tokens_per_s: 44229.94 | samples_per_s: 43.19 | s_per_batch: 11.85 | learning_rate: 0.00004140 | step_cost: 8.25
